irz,beta_s,beta_d,T_d
170.0,-3.0174755381305483,1.4871247115264068,23.86170571094694
171.0,-2.885279571296531,1.565385634534341,21.498605435759405
172.0,-3.0329070317716944,1.5479867130550606,20.735789897575174
173.0,-2.9093885263047126,1.5744745934744064,19.955415508253736
174.0,-2.8486485756535687,1.5261272251298632,24.587025796122763
175.0,-2.9372426409549015,1.4984149693400113,23.43349861853988
176.0,-3.0029247029343393,1.6032298205052147,18.878376166244728
177.0,-3.1031332854318188,1.5325765515894787,21.9331654963394
178.0,-3.0515344194230605,1.485259363664695,23.59901116190435
179.0,-2.9575419777186562,1.5144867029879339,22.53332082909265
180.0,-3.0971768202591883,1.5635566368229474,20.371454146450322
181.0,-2.972771250654548,1.533132166675188,21.434852937612465
182.0,-2.9515416883367225,1.518652161954975,22.66616371669891
183.0,-2.9628007482078367,1.5942975789875673,19.07264469945986
184.0,-2.919606566736954,1.513708032528632,24.599190640304343
185.0,-2.8829535781915596,1.5142684085286977,23.544077295593812
186.0,-3.0371851701204413,1.5225331505769053,22.747487195943414
187.0,-2.949432573438167,1.5370903766949358,22.74024987556429
188.0,-3.009783737305886,1.4339693641766145,26.620647903557554
189.0,-3.003255569733893,1.531109424183977,22.35174105873323
190.0,-2.9188557331602514,1.5118709315099825,22.228386051330748
191.0,-3.0257107251918036,1.4770199646464308,24.856468042952304
192.0,-2.845229710641752,1.5925418870607928,19.388115433754173
193.0,-2.972390589113574,1.581975588019039,20.529059137376386
194.0,-2.9986529409117306,1.5404981890743699,21.963151065423762
195.0,-2.9838793047922225,1.4992693411320661,22.833804159050544
196.0,-2.9121649493072175,1.5418710633174317,21.680121702150746
197.0,-2.91169508593111,1.590973986387537,20.509191575185028
198.0,-2.881259076946897,1.5906481324968453,18.958469056905464
199.0,-3.006094064272832,1.5538658877114007,20.633552694787316
200.0,-2.8505074748349046,1.5415829693024836,21.888902418133256
201.0,-2.9320402274889465,1.4573688138209566,25.30307113892032
202.0,-2.9985791574091705,1.578767666851877,20.61621975256857
203.0,-2.946203118530499,1.4960671061419362,23.621725807359667
204.0,-2.9720498593187803,1.445727624612291,25.958342561273454
205.0,-2.83963624237244,1.4941790130093529,24.541423565615226
206.0,-2.953803394994736,1.5267693317112063,20.932087566722245
207.0,-3.042523126027522,1.5536040504361783,20.05177682835968
208.0,-2.860166344010863,1.5261068152538304,23.23637619395044
209.0,-2.9401234405641974,1.5717478538170924,21.82207109030532
210.0,-3.002141614004247,1.5961819275688907,19.12651988235199
211.0,-3.0352391112609896,1.5256258916510732,21.220223607920207
212.0,-2.8510737515323497,1.5692551023603585,21.434542168042192
213.0,-2.9240862983232425,1.5045393789015726,22.432614785898256
214.0,-3.072902262440657,1.5686254880855803,19.70593789886698
215.0,-2.8702795238298617,1.5377391544244094,22.44369304727967
216.0,-2.986404020983773,1.6079378891198284,19.175420464223933
217.0,-3.1843558613300993,1.5470538546806627,20.418803539023358
218.0,-3.1042720063993636,1.5040038615625368,23.51219402413512
219.0,-3.1831541127024683,1.519143836216147,23.0821082722494
220.0,-2.8705257119683028,1.4504286653254095,26.353332985844776
221.0,-2.9659421631423006,1.4947115903101285,23.89156177623903
222.0,-2.93568457092618,1.5171907128441906,22.29370593985869
223.0,-2.9595245930469867,1.543854531767169,21.22274607435664
224.0,-2.90615542963074,1.5577683234395439,21.548583114379284
225.0,-2.956320672444717,1.6514029213238572,18.389690952556023
226.0,-2.991998666721728,1.5955465753283251,20.475505704815276
227.0,-3.0086828673653834,1.523360167168999,21.790292382853842
228.0,-3.131653841719855,1.5433656121313597,20.784485306330915
229.0,-3.081390726876961,1.505285991955227,22.775047561055448
230.0,-3.036957552571799,1.5906118543338954,20.03537138240818
231.0,-2.8748989900925146,1.6101452273335692,19.941702646935795
232.0,-2.8164021139604167,1.5678618914856062,20.769174878206496
233.0,-2.9920345367676426,1.5232477476190394,22.20508072855504
234.0,-2.935726318363866,1.5556976021135505,21.6147072077422
235.0,-3.1476101020782825,1.548981932541626,22.019605938059676
236.0,-3.12319138651157,1.5059887542674872,23.275980442329796
237.0,-2.9800983006993027,1.572450361161576,19.591364337854067
238.0,-2.9607586614955967,1.547841169057517,20.772041266557288
239.0,-2.9799997370200857,1.5454217361314495,22.002467782930346
240.0,-2.977499015524787,1.5082945626801987,22.51572454751501
241.0,-3.092635210949308,1.5391093215237412,21.1013920146386
242.0,-3.001472634072233,1.5129548304892486,23.15174312121839
243.0,-2.9698948156867773,1.6132653684788043,19.260042737048188
244.0,-2.897044471256849,1.5181037891828295,22.90709889368667
245.0,-3.097787937469907,1.5673319181359358,20.504150813736725
246.0,-2.9040657345315015,1.594247642587922,18.84914695533719
247.0,-2.884778941549991,1.4737745541210416,25.173648264590557
248.0,-3.0177138901945217,1.4960161112999129,22.799108286876894
249.0,-2.9161934289226967,1.4871695047366154,24.841369619951113
250.0,-2.933705899242449,1.5505210450220237,20.591366486483725
251.0,-3.06197474287547,1.5186339525397232,21.6702631201827
252.0,-2.982715661878925,1.4879051979969788,23.644470690430225
253.0,-2.854556104892487,1.5797977383764135,20.990991634458524
254.0,-2.932268046714129,1.542745828162872,22.28009974396381
255.0,-2.883859204628669,1.5310584256258744,22.044502456506883
256.0,-2.7667529130895945,1.5130330032056687,23.813461874983958
257.0,-2.9519337581356586,1.5228993903820602,22.521463165145935
258.0,-2.8698758065572916,1.5564739257196631,21.744783737211296
259.0,-2.9800542727896784,1.548064050693116,21.277308051455435
260.0,-3.052265773548964,1.603931358525876,18.597387534918482
261.0,-2.953228368494206,1.5455479513247925,21.813921783411175
262.0,-2.8215876563846676,1.5594170064118664,20.090040261166006
263.0,-2.7909341175709814,1.5425195228837447,20.598426281557227
264.0,-2.941965848031166,1.6073443243939405,19.941986650365124
265.0,-2.953575824756708,1.5683081497328786,20.23125637506324
266.0,-2.9905946782333506,1.507369740907965,22.95434892335034
267.0,-2.9540244415596923,1.5048769823074544,23.424884234394984
268.0,-3.022846702745046,1.5277836883602594,22.101884537381498
269.0,-2.8944926159124202,1.541330207694752,20.006089072083167
270.0,-2.8450471449040564,1.563527366213687,20.32019376695338
271.0,-3.0811015220683786,1.51827602545047,23.089448191283147
272.0,-2.8799539116194106,1.4673942982575325,23.78080127524584
273.0,-2.7616862697819293,1.5225020726259242,21.977387272921437
274.0,-3.0530193757735775,1.4907955866347518,23.587519890620488
275.0,-3.0073497446169606,1.5433795376960955,21.948250113320313
276.0,-3.1130139679751747,1.5182629475777216,22.609973216072056
277.0,-3.004338320195582,1.5321254291040003,22.407504853502388
278.0,-2.9309247546667496,1.5432381023432096,22.25350095329752
279.0,-2.909416670105705,1.5754265998322579,21.42009722745147
280.0,-2.916607550203203,1.5309323068133316,22.190990490847256
281.0,-2.938009210430617,1.5715267791895606,20.160315783920836
282.0,-2.902667287086269,1.4965392695930682,23.95311691635216
283.0,-3.084506111543509,1.5652075015253328,20.763075986193503
284.0,-3.1052864371142577,1.5626410127202464,21.38221837604371
285.0,-2.85170585472438,1.4831887242412638,24.169157394430485
286.0,-2.91557733598889,1.5498659056333275,21.429471993788212
287.0,-2.966305591111799,1.5447560080805636,20.9155194033573
288.0,-2.8795280595779045,1.5661131545234048,21.973377144271446
289.0,-3.0112113650057317,1.5612648370614939,21.671127767369377
290.0,-2.9306746402016612,1.5485221760473542,21.22458873535916
291.0,-3.0472364768213565,1.5554379602208477,20.657029975738766
292.0,-2.9929766206612083,1.5711065314130235,20.030218792179063
293.0,-2.8678570400532175,1.614447530670545,18.201858718207497
294.0,-3.0271305684918355,1.5476906209979564,22.52610669962604
295.0,-2.849467327837832,1.5116392105995813,22.423415162193038
296.0,-3.0723899029255612,1.4625016499986878,26.008632724596357
297.0,-3.016072994506799,1.56524422113528,21.462333427330222
298.0,-2.997019617231797,1.5229394962964364,22.84416031691883
299.0,-3.063177231660397,1.4776766355760116,24.627994912062327
300.0,-2.933947005695135,1.5482921624261565,21.451203101894293
301.0,-3.048794325463308,1.5730786225126625,20.150564077266935
302.0,-2.979411999896386,1.5252561535782534,22.012812538211808
303.0,-3.070469769026534,1.5704055120115261,20.515290499215666
304.0,-2.870142070021519,1.497530301357676,24.246268860000015
305.0,-2.7716335411998196,1.4965084525204038,23.466165562167493
306.0,-3.0229625915636538,1.473898852351222,23.635638331932242
307.0,-3.0159108265457815,1.5842019682379118,20.323092682379254
308.0,-2.972064998572357,1.52128197395177,23.257375839346754
309.0,-2.971431474403688,1.4833713260080814,25.766842478688268
310.0,-2.9427960484923616,1.5204821343624133,22.89667229643681
311.0,-2.8437539787731474,1.4986744170769886,24.060043235000908
312.0,-2.9512464137874455,1.4649421959028732,24.990841218482856
313.0,-3.0357212023156466,1.6243959596888689,18.503273262006275
314.0,-2.9456318584700165,1.4864139888523706,24.032885709998443
315.0,-2.9355650740609027,1.5866739468052302,19.44310236555895
316.0,-2.87015318406885,1.5776836319662069,20.507470113749264
317.0,-3.0427949915295223,1.5302149641596943,22.275267430649368
318.0,-3.003904998392392,1.5302252433950836,23.299666248744803
319.0,-2.9935952539346724,1.494564720658484,24.663176297111153
320.0,-2.9401568198555843,1.572187653612374,20.43469779147951
321.0,-2.8893427661783626,1.5318296979944859,23.42928258528571
